var_name,var_value
project_name,BELLE
project_link,https://github.com/LianjiaTech/BELLE
project_notes,
project_llmbase,LLaMA & BLOOMZ
project_rlbase,alpaca & shareGPT (synthetic)
project_license,Apache License 2.0
org_name,KE Technologies
org_link,http://www.ke.com
org_notes,
opencode_class,open
opencode_link,
opencode_notes,
llmdata_class,open
llmdata_link,
llmdata_notes,
llmweights_class,partial
llmweights_link,
llmweights_notes,LLaMA based but copyright status unclear
rldata_class,partial
rldata_link,
rldata_notes,
rlweights_class,closed
rlweights_link,
rlweights_notes,
license_class,closed
license_link,
license_notes,LLaMA licence agreement
code_class,closed
code_link,
code_notes,
architecture_class,open
architecture_link,
architecture_notes,
preprint_class,open
preprint_link,https://arxiv.org/abs/2303.14742
preprint_notes,
paper_class,closed
paper_link,
paper_notes,
modelcard_class,closed
modelcard_link,
modelcard_notes,
datasheet_class,partial
datasheet_link,
datasheet_notes,
package_class,closed
package_link,
package_notes,
api_class,closed
api_link,
api_notes,
