var_name;var_value
project_name;Cerebras-GPT-111M
project_link;https://github.com/Cerebras
project_notes;
project_llmbase;
project_rlbase;Alpaca (synthetic)
project_license;Apache 2.0
org_name;Cerebras, Schramm
org_link;https://github.com/Cerebras
org_notes;
opencode_class;open
opencode_link;
opencode_notes;
llmdata_class;open
llmdata_link;
llmdata_notes;
llmweights_class;open
llmweights_link;
llmweights_notes;
rldata_class;open
rldata_link;
rldata_notes;
rlweights_class;closed
rlweights_link;
rlweights_notes;
license_class;open
license_link;
license_notes;
code_class;closed
code_link;
code_notes;
architecture_class;open
architecture_link;
architecture_notes;
preprint_class;partial
preprint_link;https://arxiv.org/abs/2304.03208
preprint_notes;
paper_class;closed
paper_link;
paper_notes;
modelcard_class;closed
modelcard_link;
modelcard_notes;
datasheet_class;closed
datasheet_link;
datasheet_notes;
package_class;closed
package_link;
package_notes;
api_class;closed
api_link;
api_notes;
