var_name,var_value
project_name,"CharRWKV"
project_link,"https://github.com/BlinkDL/ChatRWKV"
project_notes,""
project_llmbase,"RWKV-LM"
project_rlbase,"alpaca, shareGPT (synthetic)"
project_license,""
org_name,"BlinkDL"
org_link,"https://huggingface.co/BlinkDL"
org_notes,""
opencode_class,"open"
opencode_link,""
opencode_notes,""
llmdata_class,"open"
llmdata_link,""
llmdata_notes,""
llmweights_class,"open"
llmweights_link,""
llmweights_notes,""
rldata_class,"open"
rldata_link,""
rldata_notes,""
rlweights_class,"open"
rlweights_link,""
rlweights_notes,""
license_class,"open"
license_link,""
license_notes,""
code_class,"open"
code_link,""
code_notes,""
architecture_class,"open"
architecture_link,""
architecture_notes,""
preprint_class,"closed"
preprint_link,""
preprint_notes,""
paper_class,"closed"
paper_link,""
paper_notes,""
modelcard_class,"closed"
modelcard_link,""
modelcard_notes,""
datasheet_class,"closed"
datasheet_link,""
datasheet_notes,""
package_class,"open"
package_link," https://pypi.org/project/rwkv/"
package_notes,""
api_class,"open"
api_link,""
api_notes,""
