var_name,var_value
project_name,"Falcon-40B-instruct"
project_link,"https://huggingface.co/tiiuae/falcon-40b-instruct"
project_notes,""
project_llmbase,"Falcon 40B"
project_rlbase,"Baize (synthetic)"
project_license," Apache 2.0 license"
org_name,"Technology Innovation Institute"
org_link,"https://falconllm.tii.ae"
org_notes,""
opencode_class,"open"
opencode_link,""
opencode_notes,""
llmdata_class,"partial"
llmdata_link,""
llmdata_notes,""
llmweights_class,"open"
llmweights_link,""
llmweights_notes,""
rldata_class,"partial"
rldata_link,""
rldata_notes,""
rlweights_class,"open"
rlweights_link,""
rlweights_notes,""
license_class,"open"
license_link,""
license_notes,""
code_class,"partial"
code_link,""
code_notes,""
architecture_class,"partial"
architecture_link,""
architecture_notes,""
preprint_class,"partial"
preprint_link,""
preprint_notes,""
paper_class,""
paper_link,""
paper_notes,""
modelcard_class,"partial"
modelcard_link,""
modelcard_notes,""
datasheet_class,"partial"
datasheet_link,""
datasheet_notes,""
package_class,"partial"
package_link,""
package_notes,""
api_class,""
api_link,""
api_notes,""
