var_name,var_value
project_name,"MPT-7B"
project_link,"https://www.mosaicml.com/blog/mpt-7b"
project_notes,""
project_llmbase,"MosaicML"
project_rlbase,"dolly, anthropic"
project_license,"CC-By-SA-3.0"
org_name,"MosaicML"
org_link,"https://www.mosaicml.com"
org_notes,""
opencode_class,"open"
opencode_link,""
opencode_notes,""
llmdata_class,"closed"
llmdata_link,"https://huggingface.co/mosaicml/mpt-7b-instruct"
llmdata_notes,""
llmweights_class,"open"
llmweights_link,""
llmweights_notes,""
rldata_class,"partial"
rldata_link,""
rldata_notes,""
rlweights_class,"closed"
rlweights_link,""
rlweights_notes,""
license_class,"open"
license_link,""
license_notes,""
code_class,"open"
code_link,""
code_notes,""
architecture_class,"partial"
architecture_link,""
architecture_notes,""
preprint_class,"closed"
preprint_link,""
preprint_notes,""
paper_class,"closed"
paper_link,""
paper_notes,""
modelcard_class,"closed"
modelcard_link,""
modelcard_notes,""
datasheet_class,"closed"
datasheet_link,""
datasheet_notes,""
package_class,"open"
package_link,""
package_notes,""
api_class,"closed"
api_link,""
api_notes,""
