var_name,var_value
project_name,"Stanford Alpaca"
project_link,"https://crfm.stanford.edu/2023/03/13/alpaca.html"
project_notes,""
project_llmbase,"LLaMA"
project_rlbase,"Self-Instruct"
project_license,"LLaMA license agreement"
org_name,"Stanford University CRFM"
org_link,"https://crfm.stanford.edu/"
org_notes,""
opencode_class,"open"
opencode_link,""
opencode_notes,""
llmdata_class,"open"
llmdata_link,"https://github.com/tatsu-lab/stanford_alpaca#data-release"
llmdata_notes,""
llmweights_class,"partial"
llmweights_link,""
llmweights_notes,"LLaMA based, copyright status unclear"
rldata_class,"partial"
rldata_link,"https://github.com/tatsu-lab/stanford_alpaca#data-release"
rldata_notes,""
rlweights_class,"closed"
rlweights_link,"https://github.com/tatsu-lab/stanford_alpaca#data-release"
rlweights_notes,""
license_class,"closed"
license_link,"https://docs.google.com/forms/d/e/1FAIpQLSfqNECQnMkycAp2jP4Z9TFX0cGR4uf7b_fBxjY_OjhJILlKGA/viewform"
license_notes,"LLaMA licence agreement"
code_class,"closed"
code_link,""
code_notes,""
architecture_class,""
architecture_link,""
architecture_notes,""
preprint_class,""
preprint_link,""
preprint_notes,""
paper_class,""
paper_link,""
paper_notes,""
modelcard_class,""
modelcard_link,""
modelcard_notes,""
datasheet_class,""
datasheet_link,""
datasheet_notes,""
package_class,""
package_link,""
package_notes,""
api_class,""
api_link,""
api_notes,""
