var_name,var_value
project_name,"ChatGPT"
project_link,"https://chat.openai.com/"
project_notes,NA
project_llmbase,"GPT 3.5"
project_rlbase,"Instruct-GPT"
project_license,"NA"
org_name,"OpenAI"
org_link,"https://openai.com/"
org_notes,NA
opencode_class,"closed"
opencode_link,"https://chat.openai.com/"
opencode_notes,"OpenAI has not released any source code related to ChatGPT"
llmdata_class,"closed"
llmdata_link,""
llmdata_notes,""
llmweights_class,"closed"
llmweights_link,""
llmweights_notes,""
rldata_class,"closed"
rldata_link,""
rldata_notes,""
rlweights_class,"closed"
rlweights_link,""
rlweights_notes,""
license_class,"closed"
license_link,""
license_notes,""
code_class,"closed"
code_link,""
code_notes,""
architecture_class,""
architecture_link,""
architecture_notes,""
preprint_class,""
preprint_link,""
preprint_notes,""
paper_class,""
paper_link,""
paper_notes,""
modelcard_class,""
modelcard_link,""
modelcard_notes,""
datasheet_class,""
datasheet_link,""
datasheet_notes,""
package_class,""
package_link,""
package_notes,""
api_class,""
api_link,""
api_notes,""
