var_name,var_value
project_name,""
project_link,""
project_notes,""
project_llmbase,""
project_rlbase,""
project_license,""
org_name,""
org_link,""
org_notes,""
opencode_class,""
opencode_link,""
opencode_notes,""
llmdata_class,"closed"
llmdata_link,""
llmdata_notes,""
llmweights_class,"closed"
llmweights_link,""
llmweights_notes,""
rldata_class,"closed"
rldata_link,""
rldata_notes,""
rlweights_class,"closed"
rlweights_link,""
rlweights_notes,""
license_class,"closed"
license_link,""
license_notes,""
code_class,"closed"
code_link,""
code_notes,""
architecture_class,"closed"
architecture_link,""
architecture_notes,""
preprint_class,"closed"
preprint_link,""
preprint_notes,""
paper_class,"closed"
paper_link,""
paper_notes,""
modelcard_class,"closed"
modelcard_link,""
modelcard_notes,""
datasheet_class,"closed"
datasheet_link,""
datasheet_notes,""
package_class,"closed"
package_link,""
package_notes,""
api_class,"closed"
api_link,""
api_notes,""
