var_name,var_value
project_name,"trlx"
project_link,"https://github.com/CarperAI/trlx"
project_notes,""
project_llmbase,"various (pythia, flan, OPT) "
project_rlbase,"various"
project_license,"MIT license"
org_name,"carperai"
org_link,"https://github.com/CarperAI/trlx"
org_notes,""
opencode_class,"open"
opencode_link,""
opencode_notes,""
llmdata_class,"open"
llmdata_link,""
llmdata_notes,""
llmweights_class,"partial"
llmweights_link,""
llmweights_notes,""
rldata_class,"partial"
rldata_link,""
rldata_notes,""
rlweights_class,"closed"
rlweights_link,""
rlweights_notes,""
license_class,"closed"
license_link,""
license_notes,""
code_class,"closed"
code_link,""
code_notes,""
architecture_class,""
architecture_link,""
architecture_notes,""
preprint_class,""
preprint_link,""
preprint_notes,""
paper_class,""
paper_link,""
paper_notes,""
modelcard_class,""
modelcard_link,""
modelcard_notes,""
datasheet_class,""
datasheet_link,""
datasheet_notes,""
package_class,""
package_link,""
package_notes,""
api_class,""
api_link,""
api_notes,""
