var_name,var_value
project_name,"StableVicuna-13B"
project_link,"https://huggingface.co/CarperAI/stable-vicuna-13b-delta"
project_notes,"test"
project_llmbase,"LLaMA"
project_rlbase,"oasst1, anthropic"
org_name,"CarperAI"
org_link,"https://carper.ai"
org_notes,""
opencode_class,"open"
opencode_link,""
opencode_notes,""
llmdata_class,"open"
llmdata_link,""
llmdata_notes,"All datasets are available and linked. StableVicuna-13B is fine-tuned on a mix of three datasets. OpenAssistant Conversations Dataset (OASST1), a human-generated, human-annotated assistant-style conversation corpus consisting of 161,443 messages distributed across 66,497 conversation trees, in 35 different languages; GPT4All Prompt Generations, a dataset of 400k prompts and responses generated by GPT-4; and Alpaca, a dataset of 52,000 instructions and demonstrations generated by OpenAI's text-davinci-003 engine."
llmweights_class,"partial"
llmweights_link,""
llmweights_notes,""
rldata_class,"partial"
rldata_link,""
rldata_notes,""
rlweights_class,"partial"
rlweights_link,""
rlweights_notes,""
license_class,"partial"
license_link,""
license_notes,""
