var_name,var_value
project_name,"Vicuna 13B v 1.3"
project_link,"https://huggingface.co/lmsys/vicuna-13b-v1.3"
project_notes,"'Vicuna is a chat assistant trained by fine-tuning LLaMA on user-shared conversations collected from ShareGPT.'"
project_llmbase,"LLaMA"
project_rlbase,"ShareGPT"
project_license,"'Non-commercial license'"
org_name,"LMSYS"
org_link,"https://lmsys.org/"
org_notes,"According to its website, 'The Large Model Systems Organisation develops large models and systems that are open, accessible and scalable'"
opencode_class,"open"
opencode_link,"https://github.com/lm-sys/FastChat"
opencode_notes,"Actively maintained repository"
llmdata_class,"partial"
llmdata_link,"https://github.com/facebookresearch/llama/blob/main/MODEL_CARD.md#training-dataset"
llmdata_notes,"Vicuna is fine-tuned LLaMA, and LLaMA in turn is based on 'publicly available datasets' that are not all specified or easily downloadable."
llmweights_class,"open"
llmweights_link,"https://github.com/lm-sys/FastChat#vicuna-weights"
llmweights_notes,"Unlike Vicuna 13B v0, these weights do not require applying delta"
rldata_class,"closed"
rldata_link,"https://github.com/lm-sys/FastChat#fine-tuning"
rldata_notes,"From the documentation: 'We will not release the ShareGPT dataset'. Also: 'Vicuna v1.3 is fine-tuned from LLaMA with supervised instruction fine-tuning. The training data is around 140K conversations collected from ShareGPT.com.'"
rlweights_class,"closed"
rlweights_link,"https://github.com/lm-sys/FastChat#fine-tuning"
rlweights_notes,"No model weights are shared for the instruction tuning"
license_class,"partial"
license_link,"https://github.com/lm-sys/FastChat#vicuna-weights"
license_notes,"From the documentation: 'Vicuna is based on LLaMA and should be used under LLaMA's model license.'"
code_class,"open"
code_link,"https://github.com/lm-sys/FastChat"
code_notes,"Code is quite well-documented and released as part of the FastChat framework."
architecture_class,"closed"
architecture_link,""
architecture_notes,""
preprint_class,"open"
preprint_link,"https://arxiv.org/pdf/2306.05685.pdf"
preprint_notes,"Preprint covers training of the Vicuna model."
paper_class,"closed"
paper_link,""
paper_notes,"No peer-reviewed paper."
modelcard_class,"partial"
modelcard_link,"https://huggingface.co/lmsys/vicuna-13b-v1.3"
modelcard_notes,"Minimal model card, but many details are not provided or have to be pieced together from elsewhere."
datasheet_class,"closed"
datasheet_link,""
datasheet_notes,"No datasheet provided."
package_class,"open"
package_link,"https://pypi.org/project/fschat/0.1.2/"
package_notes,"Available via pip"
api_class,"partial"
api_link,"https://github.com/lm-sys/FastChat#api"
api_notes,"Support provided for several APIs: OpenAI restful, HuggingFace, Langchain"
